Date,County,Rt_EpiNow
5/4/2022,Abbeville,1.196957636
5/5/2022,Abbeville,1.195258784
5/6/2022,Abbeville,1.202690253
5/7/2022,Abbeville,1.215022089
5/8/2022,Abbeville,1.233977794
5/9/2022,Abbeville,1.255684189
5/10/2022,Abbeville,1.275430479
5/11/2022,Abbeville,1.289717142
5/12/2022,Abbeville,1.297201932
5/13/2022,Abbeville,1.29830878
5/14/2022,Abbeville,1.289998595
5/15/2022,Abbeville,1.275070674
5/16/2022,Abbeville,1.255755261
5/17/2022,Abbeville,1.23195395
5/18/2022,Abbeville,1.207867136
5/19/2022,Abbeville,1.184488152
5/20/2022,Abbeville,1.164277163
5/21/2022,Abbeville,1.150076385
5/22/2022,Abbeville,1.144300112
5/23/2022,Abbeville,1.142845082
5/24/2022,Abbeville,1.146220392
5/25/2022,Abbeville,1.154314723
5/26/2022,Abbeville,1.162737475
5/27/2022,Abbeville,1.173164259
5/28/2022,Abbeville,1.179071702
5/29/2022,Abbeville,1.178924365
5/30/2022,Abbeville,1.173477585
5/31/2022,Abbeville,1.163583842
6/1/2022,Abbeville,1.151434179
6/2/2022,Abbeville,1.138488467
